Tree,Ortho Groups,Empty-Ortho Groups,Dups,Ind. Dups
966,3,0,29,16
967,1,0,2,1
968,2,0,37,21
969,5,3,2,2
970,1,0,82,40
971,3,1,21,18
972,5,2,19,11
973,0,0,0,0
974,2,0,45,27
975,2,0,11,8
976,2,0,33,24
977,7,2,37,16
978,3,1,15,10
979,1,0,318,114
980,3,1,14,10
981,0,0,0,0
982,1,0,5,4
983,1,0,149,44
984,2,0,18,13
985,2,0,18,12
986,2,0,14,12
987,3,0,9,6
988,2,1,17,12
989,2,0,10,7
990,1,0,6,6
991,1,0,3,2
992,3,1,5,4
993,4,2,9,5
994,2,1,4,3
995,2,0,19,17
996,3,0,14,13
997,0,0,0,0
998,2,1,20,15
999,1,0,29,16
1000,5,2,50,19
1001,3,0,40,26
1002,3,1,33,21
1003,1,0,51,29
1004,1,0,8,6
1005,0,0,0,0
1006,2,0,25,19
1007,2,0,12,8
1008,4,1,58,30
1009,3,0,19,14
1010,2,0,5,4
1011,3,0,166,54
1012,1,0,4,3
1013,1,0,6,4
1014,2,0,86,31
1015,2,0,50,31
1016,2,0,24,13
1017,1,0,10,7
1018,3,1,24,16
1019,1,1,0,0
1020,1,0,12,8
1021,2,0,98,56
1022,2,0,19,11
1023,2,0,5,3
1024,2,0,22,15
1025,6,1,19,15
1026,7,0,45,27
1027,3,1,18,16
1028,2,0,7,4
1029,3,0,21,18
1030,2,0,37,25
1031,14,0,142,63
1032,2,0,19,17
1033,1,0,7,5
1034,2,0,13,10
1035,1,0,6,4
1036,2,1,9,7
1037,2,0,106,51
1038,2,0,33,21
1039,3,0,11,8
1040,2,0,25,15
1041,3,1,13,9
1042,5,4,11,7
1043,2,0,18,12
1044,3,0,13,10
1045,3,0,33,21
1046,2,0,17,13
1047,1,0,1,1
1048,2,1,1,1
1049,2,0,13,12
1050,3,1,15,12
1051,3,1,38,26
1052,3,0,24,17
1053,3,0,68,29
1054,6,2,38,22
1055,3,1,24,16
1056,2,0,40,27
1057,2,0,23,14
1058,1,0,2,2
1059,0,0,0,0
1060,2,0,31,17
1061,3,0,17,16
1062,3,0,13,9
1063,2,0,16,11
1064,2,0,32,26
1065,2,0,13,9
1066,3,0,22,15
1067,4,1,41,19
1068,2,0,236,82
1069,1,0,115,42
1070,2,0,21,17
1071,2,0,8,4
1072,3,0,18,12
1073,2,0,22,17
1074,2,0,12,11
1075,3,0,15,9
1076,3,0,24,17
1077,2,0,29,19
1078,5,3,19,11
1079,3,0,32,20
1080,2,0,21,14
1081,2,0,6,3
1082,2,0,24,16
1083,2,0,4,4
1084,4,1,42,19
1085,2,0,28,20
1086,2,0,23,15
1087,2,0,14,11
1088,1,0,11,5
1089,3,1,13,9
1090,2,0,20,15
1091,1,0,152,73
1092,2,0,16,12
1093,1,0,77,36
1094,4,2,19,10
1095,2,0,24,13
1096,1,0,8,5
1097,2,0,5,3
1098,5,2,26,18
1099,2,0,18,11
1100,1,0,185,84
1101,1,0,32,21
1102,2,0,26,18
1103,2,1,3,2
1104,2,1,8,4
1105,1,0,98,54
1106,2,0,32,19
1107,0,0,0,0
1108,1,0,11,10
1109,3,0,57,28
1110,4,1,13,7
1111,1,0,18,13
1112,3,1,35,24
1113,2,0,11,9
1114,3,0,18,12
1115,0,0,0,0
1116,1,0,2,2
1117,2,0,18,14
1118,1,0,1,1
1119,2,1,21,12
1120,2,0,21,16
1121,1,0,18,13
1122,3,0,13,9
1123,2,1,5,4
1124,2,0,30,22
1125,1,0,82,39
1126,4,2,20,14
1127,2,0,26,17
1128,3,1,18,12
1129,4,0,34,27
1130,2,0,10,5
1131,2,0,17,14
1132,1,0,12,8
1133,2,0,12,9
1134,2,0,4,3
1135,2,0,15,12
1136,1,0,241,92
1137,3,1,15,10
1138,1,0,13,8
1139,2,0,31,18
1140,0,0,0,0
1141,1,1,0,0
1142,2,0,18,12
1143,2,0,30,18
1144,1,0,6,5
1145,0,0,0,0
1146,3,0,38,23
1147,1,0,11,6
1148,3,1,13,10
1149,4,4,0,0
1150,3,1,15,11
1151,5,2,9,8
1152,3,0,27,20
1153,2,0,11,9
1154,2,0,10,7
1155,2,1,2,2
1156,2,0,12,9
1157,2,0,11,8
1158,2,1,15,9
1159,1,0,23,20
1160,1,0,6,4
1161,2,0,13,10
1162,1,0,6,3
1163,1,0,5,4
1164,2,0,21,15
1165,3,1,8,7
1166,2,0,9,7
1167,1,0,34,20
1168,1,0,5,3
1169,2,0,16,10
1170,2,0,22,14
1171,4,0,23,17
1172,2,0,18,15
1173,1,0,13,9
1174,3,1,18,10
1175,2,2,0,0
1176,2,0,19,16
1177,3,0,16,11
1178,2,0,20,17
1179,2,0,22,13
1180,2,0,22,18
1181,0,0,0,0
1182,0,0,0,0
1183,2,0,11,9
1184,2,0,15,9
1185,1,0,89,45
1186,0,0,0,0
1187,2,1,3,3
1188,0,0,0,0
1189,4,2,12,9
1190,0,0,0,0
1191,3,1,9,7
1192,0,0,0,0
1193,3,2,7,7
1194,3,1,14,11
1195,2,0,9,7
1196,2,0,14,14
1197,2,0,153,76
1198,2,0,6,3
1199,2,0,11,7
1200,2,0,13,9
1201,2,0,16,11
1202,2,0,9,6
1203,1,0,3,3
1204,2,0,14,9
1205,5,2,11,8
1206,2,0,42,28
1207,2,0,29,16
1208,2,0,10,7
1209,0,0,0,0
1210,13,2,120,51
1211,4,1,15,11
1212,2,2,0,0
1213,2,0,23,18
1214,2,0,14,12
1215,3,3,0,0
1216,3,0,28,19
1217,1,0,10,6
1218,3,1,10,6
1219,2,0,18,15
1220,1,0,22,14
1221,2,0,30,16
1222,2,0,13,9
1223,2,0,21,13
1224,2,0,19,16
1225,2,0,19,15
1226,2,0,13,10
1227,2,0,21,13
1228,5,5,0,0
1229,1,0,18,11
1230,3,2,7,5
1231,2,0,27,17
1232,2,0,31,20
1233,2,0,13,9
1234,2,0,24,16
1235,3,0,8,6
1236,1,1,0,0
1237,1,0,102,48
1238,2,0,25,17
1239,2,0,84,44
1240,2,0,19,14
1241,2,0,16,12
1242,2,0,17,12
1243,2,0,11,7
1244,2,0,18,12
1245,1,0,7,5
1246,2,0,14,12
1247,1,0,11,7
1248,2,0,12,8
1249,2,0,16,9
1250,2,0,22,16
1251,2,0,80,36
1252,2,1,8,6
1253,2,1,30,20
1254,1,0,3,2
1255,3,1,27,18
1256,2,1,7,3
1257,4,2,45,36
1258,2,1,7,6
1259,1,0,3,2
1260,2,0,13,10
1261,4,3,10,8
1262,3,2,7,3
1263,2,0,20,13
1264,2,0,15,12
1265,2,0,29,20
1266,1,0,14,9
1267,2,0,21,14
1268,3,1,20,12
1269,2,0,20,14
1270,2,0,21,17
1271,4,0,15,12
1272,4,3,3,2
1273,2,0,31,19
1274,2,0,11,9
1275,1,0,4,3
1276,2,0,15,10
1277,2,0,9,7
1278,0,0,0,0
1279,3,0,15,12
1280,1,0,5,5
1281,2,0,11,7
1282,2,1,6,3
1283,2,0,19,12
1284,4,2,30,18
1285,1,0,7,5
1286,1,0,19,10
1287,2,0,8,8
1288,2,0,15,14
1289,1,1,0,0
1290,2,0,25,15
1291,2,2,0,0
1292,2,0,10,8
1293,0,0,0,0
1294,2,2,0,0
1295,1,0,5,5
1296,2,0,19,17
1297,2,0,9,7
1298,1,0,11,8
1299,3,1,16,13
1300,2,0,21,16
1301,1,0,3,2
1302,2,0,13,10
1303,2,0,12,7
1304,3,1,21,19
1305,2,0,12,7
1306,2,1,6,5
1307,2,0,12,8
1308,2,0,20,14
1309,4,1,6,6
1310,2,1,6,6
1311,2,0,47,24
1312,2,0,75,30
1313,0,0,0,0
1314,2,0,15,11
1315,3,1,20,9
1316,2,0,8,8
1317,3,1,13,10
1318,2,0,19,11
1319,2,0,13,8
1320,2,0,8,7
1321,1,0,5,5
1322,2,0,11,8
1323,1,0,9,8
1324,2,0,21,12
1325,2,0,14,13
1326,1,0,6,6
1327,0,0,0,0
1328,2,0,27,18
1329,1,0,5,5
1330,2,0,11,9
1331,2,0,16,14
1332,1,0,8,6
1333,2,0,20,11
1334,1,0,11,7
1335,3,0,19,16
1336,0,0,0,0
1337,1,0,3,2
1338,2,0,18,16
